Gene stable ID,Gene name,Human gene name,Human gene stable ID,Human homology type,"Human orthology confidence [0 low, 1 high]",Human Gene-order conservation score
ENSMUSG00000064336,mt-Tf,,,,,
ENSMUSG00000064337,mt-Rnr1,,,,,
ENSMUSG00000064338,mt-Tv,,,,,
ENSMUSG00000064339,mt-Rnr2,,,,,
ENSMUSG00000064340,mt-Tl1,,,,,
ENSMUSG00000064341,mt-Nd1,MT-ND1,ENSG00000198888,ortholog_one2one,1,50
ENSMUSG00000064342,mt-Ti,,,,,
ENSMUSG00000064343,mt-Tq,,,,,
ENSMUSG00000064344,mt-Tm,,,,,
ENSMUSG00000064345,mt-Nd2,MT-ND2,ENSG00000198763,ortholog_one2one,1,75
ENSMUSG00000064346,mt-Tw,,,,,
ENSMUSG00000064347,mt-Ta,,,,,
ENSMUSG00000064348,mt-Tn,,,,,
ENSMUSG00000064349,mt-Tc,,,,,
ENSMUSG00000064350,mt-Ty,,,,,
ENSMUSG00000064351,mt-Co1,MT-CO1,ENSG00000198804,ortholog_one2one,1,100
ENSMUSG00000064352,mt-Ts1,,,,,
ENSMUSG00000064353,mt-Td,,,,,
ENSMUSG00000064354,mt-Co2,MT-CO2,ENSG00000198712,ortholog_one2one,1,100
ENSMUSG00000064355,mt-Tk,,,,,
ENSMUSG00000064356,mt-Atp8,MT-ATP8,ENSG00000228253,ortholog_one2one,0,100
ENSMUSG00000064357,mt-Atp6,MT-ATP6,ENSG00000198899,ortholog_one2one,1,100
ENSMUSG00000064358,mt-Co3,MT-CO3,ENSG00000198938,ortholog_one2one,1,100
ENSMUSG00000064359,mt-Tg,,,,,
ENSMUSG00000064360,mt-Nd3,MT-ND3,ENSG00000198840,ortholog_one2one,1,100
ENSMUSG00000064361,mt-Tr,,,,,
ENSMUSG00000065947,mt-Nd4l,MT-ND4L,ENSG00000212907,ortholog_one2one,1,100
ENSMUSG00000064363,mt-Nd4,MT-ND4,ENSG00000198886,ortholog_one2one,1,100
ENSMUSG00000064364,mt-Th,,,,,
ENSMUSG00000064365,mt-Ts2,,,,,
ENSMUSG00000064366,mt-Tl2,,,,,
ENSMUSG00000064367,mt-Nd5,MT-ND5,ENSG00000198786,ortholog_one2one,1,100
ENSMUSG00000064368,mt-Nd6,MT-ND6,ENSG00000198695,ortholog_one2one,1,75
ENSMUSG00000064369,mt-Te,,,,,
ENSMUSG00000064370,mt-Cytb,MT-CYB,ENSG00000198727,ortholog_one2one,1,50
ENSMUSG00000064371,mt-Tt,,,,,
ENSMUSG00000064372,mt-Tp,,,,,
