Gene stable ID,Gene name,Mouse gene name,Mouse gene stable ID,Mouse homology type,"Mouse orthology confidence [0 low, 1 high]",Mouse Gene-order conservation score
ENSG00000210049,MT-TF,,,,,
ENSG00000211459,MT-RNR1,,,,,
ENSG00000210077,MT-TV,,,,,
ENSG00000210082,MT-RNR2,,,,,
ENSG00000209082,MT-TL1,,,,,
ENSG00000198888,MT-ND1,mt-Nd1,ENSMUSG00000064341,ortholog_one2one,1,50
ENSG00000210100,MT-TI,,,,,
ENSG00000210107,MT-TQ,,,,,
ENSG00000210112,MT-TM,,,,,
ENSG00000198763,MT-ND2,mt-Nd2,ENSMUSG00000064345,ortholog_one2one,1,75
ENSG00000210117,MT-TW,,,,,
ENSG00000210127,MT-TA,,,,,
ENSG00000210135,MT-TN,,,,,
ENSG00000210140,MT-TC,,,,,
ENSG00000210144,MT-TY,,,,,
ENSG00000198804,MT-CO1,mt-Co1,ENSMUSG00000064351,ortholog_one2one,1,100
ENSG00000210151,MT-TS1,,,,,
ENSG00000210154,MT-TD,,,,,
ENSG00000198712,MT-CO2,mt-Co2,ENSMUSG00000064354,ortholog_one2one,1,100
ENSG00000210156,MT-TK,,,,,
ENSG00000228253,MT-ATP8,mt-Atp8,ENSMUSG00000064356,ortholog_one2one,0,100
ENSG00000198899,MT-ATP6,mt-Atp6,ENSMUSG00000064357,ortholog_one2one,1,100
ENSG00000198938,MT-CO3,mt-Co3,ENSMUSG00000064358,ortholog_one2one,1,100
ENSG00000210164,MT-TG,,,,,
ENSG00000198840,MT-ND3,mt-Nd3,ENSMUSG00000064360,ortholog_one2one,1,100
ENSG00000210174,MT-TR,,,,,
ENSG00000212907,MT-ND4L,mt-Nd4l,ENSMUSG00000065947,ortholog_one2one,1,100
ENSG00000198886,MT-ND4,mt-Nd4,ENSMUSG00000064363,ortholog_one2one,1,100
ENSG00000210176,MT-TH,,,,,
ENSG00000210184,MT-TS2,,,,,
ENSG00000210191,MT-TL2,,,,,
ENSG00000198786,MT-ND5,mt-Nd5,ENSMUSG00000064367,ortholog_one2one,1,100
ENSG00000198695,MT-ND6,mt-Nd6,ENSMUSG00000064368,ortholog_one2one,1,75
ENSG00000210194,MT-TE,,,,,
